Paradigm,threshold,diagnostic_aggressiveness,sensitivity,specificity,fp_rate,fn_rate,review_rate,clinical_burden
UVIF,0.58,0.42000000000000004,0.9974358974358974,0.6666666666666666,0.3333333333333333,0.002564102564102564,0.00641025641025641,0.34198717948717944
UVIF,0.59,0.41000000000000003,0.9974358974358974,0.6666666666666666,0.3333333333333333,0.002564102564102564,0.00641025641025641,0.34198717948717944
UVIF,0.6,0.4,0.9974358974358974,0.6794871794871795,0.32051282051282054,0.002564102564102564,0.009615384615384616,0.33028846153846153
UVIF,0.61,0.39,0.9948717948717949,0.6794871794871795,0.32051282051282054,0.005128205128205128,0.011217948717948718,0.3372596153846154
UVIF,0.62,0.38,0.9948717948717949,0.6794871794871795,0.32051282051282054,0.005128205128205128,0.009615384615384616,0.336698717948718
UVIF,0.63,0.37,0.9948717948717949,0.6837606837606838,0.3162393162393162,0.005128205128205128,0.008012820512820512,0.3318643162393162
UVIF,0.64,0.36,0.9948717948717949,0.6837606837606838,0.3162393162393162,0.005128205128205128,0.008012820512820512,0.3318643162393162
UVIF,0.65,0.35,0.9923076923076923,0.6837606837606838,0.3162393162393162,0.007692307692307693,0.004807692307692308,0.33715277777777775
UVIF,0.66,0.33999999999999997,0.9923076923076923,0.688034188034188,0.31196581196581197,0.007692307692307693,0.004807692307692308,0.3328792735042735
UVIF,0.67,0.32999999999999996,0.9923076923076923,0.688034188034188,0.31196581196581197,0.007692307692307693,0.004807692307692308,0.3328792735042735
UVIF,0.6799999999999999,0.32000000000000006,0.9923076923076923,0.6965811965811965,0.3034188034188034,0.007692307692307693,0.00641025641025641,0.32489316239316235
UVIF,0.69,0.31000000000000005,0.9923076923076923,0.6965811965811965,0.3034188034188034,0.007692307692307693,0.00641025641025641,0.32489316239316235
UVIF,0.7,0.30000000000000004,0.9923076923076923,0.7051282051282052,0.2948717948717949,0.007692307692307693,0.008012820512820512,0.31690705128205127
UVIF,0.71,0.29000000000000004,0.9923076923076923,0.7094017094017094,0.2905982905982906,0.007692307692307693,0.008012820512820512,0.312633547008547
UVIF,0.72,0.28,0.9923076923076923,0.7222222222222222,0.2777777777777778,0.007692307692307693,0.01282051282051282,0.3014957264957265
UVIF,0.73,0.27,0.9923076923076923,0.7264957264957265,0.27350427350427353,0.007692307692307693,0.011217948717948718,0.2966613247863248
UVIF,0.74,0.26,0.9923076923076923,0.7307692307692307,0.2692307692307692,0.007692307692307693,0.01282051282051282,0.2929487179487179
UVIF,0.75,0.25,0.9923076923076923,0.7393162393162394,0.2606837606837607,0.007692307692307693,0.01282051282051282,0.2844017094017094
UVIF,0.76,0.24,0.9923076923076923,0.7393162393162394,0.2606837606837607,0.007692307692307693,0.011217948717948718,0.28384081196581196
UVIF,0.77,0.22999999999999998,0.9923076923076923,0.7393162393162394,0.2606837606837607,0.007692307692307693,0.00641025641025641,0.28215811965811965
UVIF,0.78,0.21999999999999997,0.9923076923076923,0.7393162393162394,0.2606837606837607,0.007692307692307693,0.004807692307692308,0.2815972222222222
UVIF,0.79,0.20999999999999996,0.9923076923076923,0.7478632478632479,0.25213675213675213,0.007692307692307693,0.00641025641025641,0.2736111111111111
UVIF,0.8,0.19999999999999996,0.9897435897435898,0.7478632478632479,0.25213675213675213,0.010256410256410256,0.004807692307692308,0.2794604700854701
UVIF,0.81,0.18999999999999995,0.9897435897435898,0.7521367521367521,0.24786324786324787,0.010256410256410256,0.00641025641025641,0.27574786324786327
UVIF,0.8200000000000001,0.17999999999999994,0.9871794871794872,0.7521367521367521,0.24786324786324787,0.01282051282051282,0.008012820512820512,0.2827190170940171
UVIF,0.8300000000000001,0.16999999999999993,0.9846153846153847,0.7564102564102564,0.24358974358974358,0.015384615384615385,0.011217948717948718,0.2859775641025641
UVIF,0.8400000000000001,0.15999999999999992,0.9846153846153847,0.7735042735042735,0.2264957264957265,0.015384615384615385,0.014423076923076924,0.27000534188034186
UVIF,0.8500000000000001,0.1499999999999999,0.982051282051282,0.7735042735042735,0.2264957264957265,0.017948717948717947,0.014423076923076924,0.27641559829059825
UVIF,0.86,0.14,0.982051282051282,0.7863247863247863,0.21367521367521367,0.017948717948717947,0.017628205128205128,0.2647168803418803
UVIF,0.87,0.13,0.9794871794871794,0.7948717948717948,0.20512820512820512,0.020512820512820513,0.020833333333333332,0.26370192307692303
